iter	Logloss
0	0.5727957861
1	0.4846000413
2	0.4208282717
3	0.3761023965
4	0.3400720352
5	0.316525039
6	0.3011051128
7	0.2844000921
8	0.2709565544
9	0.2616276351
10	0.253963082
11	0.2476865296
12	0.243142169
13	0.2406885841
14	0.2372032249
15	0.2345129475
16	0.2320962615
17	0.2305626646
18	0.2296039832
19	0.2284856525
20	0.2272511892
21	0.2266461192
22	0.2258939322
23	0.2251440384
24	0.2244992102
25	0.2241366584
26	0.2237470093
27	0.2235092193
28	0.2231308053
29	0.2229050007
30	0.2224902156
31	0.2222181729
32	0.2220664854
33	0.2218498546
34	0.221721059
35	0.2215076007
36	0.2213710884
37	0.2212144582
38	0.2211046762
39	0.2209854247
40	0.2208427229
41	0.2207750723
42	0.2207089413
43	0.2205945349
44	0.2205063895
45	0.2204416618
46	0.2203477243
47	0.2202812252
48	0.220220538
49	0.2201584955
50	0.2201083887
51	0.2200396365
52	0.2199844808
53	0.2199285483
54	0.2198757002
55	0.2198190863
56	0.2197799728
57	0.2197429642
58	0.2196996333
59	0.2196553893
60	0.2196261205
61	0.2195969073
62	0.2195715909
63	0.2195106627
64	0.2194634054
65	0.2194306424
66	0.2194065538
67	0.2193852318
68	0.2193332307
69	0.2192888228
70	0.2192393556
71	0.2191964089
72	0.2191519967
73	0.2191217992
74	0.2190847194
75	0.2190501977
76	0.2190150153
77	0.218965628
78	0.2189343768
79	0.218885338
80	0.2188476493
81	0.2188366797
82	0.2188069308
83	0.2187859825
84	0.2187553336
85	0.2187289478
86	0.2187058895
87	0.2186724877
88	0.2186478855
89	0.2186052755
90	0.2185755059
91	0.2185462065
92	0.2185171528
93	0.2184872127
94	0.2184487542
95	0.2184384301
96	0.2184215099
97	0.2183938454
98	0.2183752973
99	0.2183562326
100	0.2183220813
101	0.2182908709
102	0.2182555557
103	0.2182277827
104	0.2182096107
105	0.2181842734
106	0.2181601974
107	0.2181256966
108	0.2180989706
109	0.2180674013
110	0.2180337282
111	0.2179935126
112	0.2179573494
113	0.2179264683
114	0.217900892
115	0.2178790605
116	0.2178566326
117	0.2178250292
118	0.2177950894
119	0.2177656923
120	0.2177302519
121	0.2177014284
122	0.217688362
123	0.2176593954
124	0.2176260789
125	0.2175947102
126	0.2175600078
127	0.2175284474
128	0.2174889899
129	0.2174392809
130	0.2174208846
131	0.2173956933
132	0.2173775815
133	0.2173526664
134	0.2173344098
135	0.2173063844
136	0.2172698374
137	0.2172438891
138	0.2172092981
139	0.2171736424
140	0.2171555982
141	0.2171263514
142	0.2170948958
143	0.2170646923
144	0.2170256022
145	0.2170113333
146	0.2169890051
147	0.2169662269
148	0.2169370322
149	0.2169158668
150	0.2168995582
151	0.2168756971
152	0.2168470475
153	0.216831961
154	0.2168003319
155	0.2167786186
156	0.2167497304
157	0.2167330154
158	0.2167035323
159	0.2166817498
160	0.2166687744
161	0.2166413493
162	0.2166225708
163	0.216602479
164	0.2165757965
165	0.2165613044
166	0.2165364239
167	0.2165101328
168	0.2164925023
169	0.2164654633
170	0.2164501196
171	0.2164234544
172	0.2163885227
173	0.2163550237
174	0.2163327252
175	0.2163021672
176	0.2162691544
177	0.2162536731
178	0.2162281565
179	0.2162005525
180	0.2161750473
181	0.2161519104
182	0.2161309548
183	0.2161082426
184	0.216091199
185	0.2160595071
186	0.2160430452
187	0.2160143419
188	0.2159805489
189	0.2159505106
190	0.2159260989
191	0.2159058362
192	0.2158789986
193	0.215871058
194	0.2158440836
195	0.2158152317
196	0.2157871656
197	0.2157661235
198	0.2157401963
199	0.215718897
200	0.2156963011
201	0.2156699623
202	0.2156509109
203	0.2156296474
204	0.2155918464
205	0.2155632265
206	0.2155550715
207	0.2155389465
208	0.2155090159
209	0.2154829766
210	0.215467875
211	0.2154431426
212	0.2154184447
213	0.21539732
214	0.2153844779
215	0.2153645858
216	0.2153487249
217	0.2153427043
218	0.215330709
219	0.2153206979
220	0.2153001124
221	0.215270467
222	0.2152576615
223	0.215227109
224	0.2152142085
225	0.2151968569
226	0.21517368
227	0.2151462381
228	0.2151178257
229	0.2150897314
230	0.2150690519
231	0.2150471796
232	0.2150330356
233	0.2150125374
234	0.214999756
235	0.2149854246
236	0.2149504281
237	0.214928157
238	0.2149118527
239	0.2148954156
240	0.2148769542
241	0.2148496306
242	0.2148316788
243	0.2148044069
244	0.2147861959
245	0.2147643936
246	0.2147468348
247	0.2147307765
248	0.2147075088
249	0.214687324
250	0.2146681028
251	0.2146523511
252	0.2146289407
253	0.2145996121
254	0.214584957
255	0.214566878
256	0.214545306
257	0.2145134537
258	0.2145006311
259	0.2144841236
260	0.2144651038
261	0.2144450705
262	0.2144178387
263	0.2143864817
264	0.2143530264
265	0.2143390073
266	0.214317265
267	0.2142967126
268	0.2142786274
269	0.2142473528
270	0.2142214291
271	0.2142074854
272	0.2141945329
273	0.2141788703
274	0.2141679574
275	0.2141494369
276	0.2141263985
277	0.2141016414
278	0.214082049
279	0.2140567572
280	0.2140487579
281	0.2140267625
282	0.2140078152
283	0.2139846517
284	0.2139743167
285	0.213953013
286	0.2139322751
287	0.2139122766
288	0.2138865138
289	0.2138653522
290	0.2138426064
291	0.2138282003
292	0.2138107117
293	0.213777879
294	0.2137536294
295	0.2137328635
296	0.2137174773
297	0.213700552
298	0.213687704
299	0.2136743529
300	0.2136480729
301	0.2136348417
302	0.2136149727
303	0.2135892607
304	0.2135743343
305	0.2135622482
306	0.213554616
307	0.2135342545
308	0.213519563
309	0.2134956751
310	0.2134721634
311	0.2134645353
312	0.2134464853
313	0.213429419
314	0.2134079733
315	0.2133969584
316	0.2133672917
317	0.2133450632
318	0.21332227
319	0.2133029492
320	0.2132857323
321	0.2132685987
322	0.2132506314
323	0.2132344234
324	0.2132189313
325	0.2131962841
326	0.2131718896
327	0.2131522313
328	0.2131343475
329	0.2131102142
330	0.2130951936
331	0.2130734773
332	0.213051657
333	0.2130310347
334	0.2130172349
335	0.2129940311
336	0.2129751753
337	0.2129548594
338	0.212935875
339	0.2129171875
340	0.212895568
341	0.2128873867
342	0.2128783521
343	0.21285827
344	0.2128388046
345	0.2128096119
346	0.2127820717
347	0.2127594551
348	0.2127519016
349	0.2127252624
350	0.2127057813
351	0.212687401
352	0.212662248
353	0.2126407551
354	0.2126324697
355	0.2126153639
356	0.2125936691
357	0.212571093
358	0.212554266
359	0.2125345517
360	0.2125191176
361	0.2125048021
362	0.2124952503
363	0.2124788298
364	0.2124598355
365	0.2124414294
366	0.212432339
367	0.2124200696
368	0.2124066928
369	0.2123776443
370	0.2123523422
371	0.2123378133
372	0.2123090868
373	0.2122910251
374	0.2122597294
375	0.2122355569
376	0.2122085752
377	0.2121942339
378	0.2121839813
379	0.212166856
380	0.212151746
381	0.2121241413
382	0.2120987349
383	0.2120733084
384	0.2120549573
385	0.2120356019
386	0.2120218607
387	0.212001629
388	0.2119816138
389	0.211968616
390	0.2119515341
391	0.2119289422
392	0.2118945103
393	0.2118803709
394	0.2118607453
395	0.2118438395
396	0.2118237746
397	0.2118091659
398	0.2117839378
399	0.2117694827
400	0.2117638429
401	0.2117372236
402	0.2117122447
403	0.2116951935
404	0.211670298
405	0.2116532159
406	0.2116337238
407	0.2116169341
408	0.2116055348
409	0.2115953184
410	0.2115740954
411	0.2115598896
412	0.2115311872
413	0.211517868
414	0.2114998131
415	0.2114841135
416	0.2114624348
417	0.2114499614
418	0.2114211168
419	0.2114081469
420	0.211388543
421	0.2113757605
422	0.2113647836
423	0.2113452295
424	0.2113301433
425	0.2113144922
426	0.2112918754
427	0.2112627031
428	0.2112349961
429	0.2112028305
430	0.211182204
431	0.2111719048
432	0.2111575693
433	0.2111365674
434	0.2111175171
435	0.2110895197
436	0.2110765481
437	0.2110677635
438	0.2110553104
439	0.2110352453
440	0.2110254989
441	0.2110007221
442	0.2109799522
443	0.2109590434
444	0.2109422846
445	0.2109164574
446	0.2108877809
447	0.210868896
448	0.2108517499
449	0.21084024
450	0.2108124985
451	0.210783266
452	0.2107682788
453	0.2107545284
454	0.2107468486
455	0.2107289265
456	0.2107042438
457	0.2106872442
458	0.2106658107
459	0.2106446856
460	0.2106343147
461	0.2106101742
462	0.2106030005
463	0.2105786703
464	0.2105579302
465	0.2105372905
466	0.2105366029
467	0.2105187814
468	0.2104985891
469	0.2104838434
470	0.2104673974
471	0.2104512995
472	0.2104328938
473	0.2104165799
474	0.210401615
475	0.2103871536
476	0.2103693287
477	0.2103514916
478	0.2103264292
479	0.2103105919
480	0.210286665
481	0.210270061
482	0.2102384811
483	0.2102217031
484	0.2102080603
485	0.2101908247
486	0.2101678537
487	0.2101559644
488	0.2101299895
489	0.2101085435
490	0.2100843086
491	0.2100649379
492	0.2100545794
493	0.210047493
494	0.2100409004
495	0.2100205999
496	0.2100079796
497	0.2099861827
498	0.2099682977
499	0.2099527301
500	0.209939841
501	0.2099200608
502	0.2099112579
503	0.2099035505
504	0.2098897637
505	0.2098710773
506	0.2098558179
507	0.2098359417
508	0.2098129834
509	0.2097850662
510	0.2097652175
511	0.2097511334
512	0.2097336005
513	0.2097231001
514	0.209691627
515	0.209672121
516	0.209650664
517	0.2096318306
518	0.2096179689
519	0.2095992918
520	0.2095728987
521	0.2095563622
522	0.2095386788
523	0.2095224895
524	0.2095086819
525	0.2095017059
526	0.2094895841
527	0.2094673882
528	0.2094470695
529	0.2094266187
530	0.2094170375
531	0.2093956953
532	0.2093822254
533	0.2093667433
534	0.2093539964
535	0.2093369103
536	0.2093172747
537	0.2092859057
538	0.2092773409
539	0.2092557688
540	0.2092389619
541	0.20921094
542	0.2092016557
543	0.2091905855
544	0.209179349
545	0.2091622669
546	0.2091312312
547	0.2091167538
548	0.2090928158
549	0.2090730779
550	0.2090477111
551	0.2090320664
552	0.2090127417
553	0.2089963001
554	0.2089742933
555	0.2089554598
556	0.2089386339
557	0.208917767
558	0.2088974263
559	0.2088881262
560	0.2088718832
561	0.2088532535
562	0.2088235413
563	0.2088094787
564	0.2087943177
565	0.2087878911
566	0.2087677067
567	0.2087472048
568	0.2087274358
569	0.208707875
570	0.2086839901
571	0.2086803107
572	0.208659431
573	0.208639049
574	0.2086227887
575	0.2086045481
576	0.208580325
577	0.2085624044
578	0.2085435863
579	0.2085245199
580	0.2085198128
581	0.2084971464
582	0.2084824847
583	0.2084704576
584	0.2084647742
585	0.2084507118
586	0.2084297093
587	0.2084139952
588	0.2083993636
589	0.2083819458
590	0.2083819696
591	0.2083640248
592	0.2083435862
593	0.2083209634
594	0.2082981087
595	0.2082834765
596	0.2082609799
597	0.2082444039
598	0.2082239077
599	0.2082135803
600	0.2081975895
601	0.2081859251
602	0.208162301
603	0.2081470388
604	0.2081285301
605	0.2081122712
606	0.2080940673
607	0.2080701658
608	0.2080701105
609	0.2080461418
610	0.2080313238
611	0.2080197346
612	0.2079966435
613	0.2079833504
614	0.2079595067
615	0.2079451953
616	0.2079194426
617	0.2078925467
618	0.2078776409
619	0.2078609037
620	0.2078386253
621	0.2078318986
622	0.2078154174
623	0.207794707
624	0.2077841978
625	0.2077727277
626	0.2077606771
627	0.2077428359
628	0.2077258883
629	0.2077074534
630	0.2076929434
631	0.2076691225
632	0.2076537165
633	0.2076394371
634	0.2076188493
635	0.2075964916
636	0.2075731339
637	0.2075499823
638	0.2075378411
639	0.2075264513
640	0.2075123064
641	0.2074952846
642	0.2074774949
643	0.2074539393
644	0.2074465087
645	0.2074283631
646	0.207415605
647	0.2073936018
648	0.2073752437
649	0.2073581679
650	0.2073354659
651	0.2073195777
652	0.2073060685
653	0.2072813946
654	0.2072630264
655	0.2072516395
656	0.2072344346
657	0.2072222922
658	0.2072086442
659	0.2071897564
660	0.2071694997
661	0.2071515361
662	0.2071352128
663	0.2071201426
664	0.207100578
665	0.207082903
666	0.2070725049
667	0.2070476449
668	0.2070243743
669	0.207012999
670	0.2069992214
671	0.206972744
672	0.2069539896
673	0.2069372709
674	0.2069268485
675	0.2069134184
676	0.206904395
677	0.2068906023
678	0.2068841006
679	0.2068674777
680	0.2068526726
681	0.2068253343
682	0.2068069008
683	0.2067883529
684	0.2067660732
685	0.2067409628
686	0.2067232434
687	0.2067068214
688	0.2066838035
689	0.2066664804
690	0.2066536195
691	0.206634586
692	0.2066135336
693	0.2065984314
694	0.2065703703
695	0.2065549917
696	0.2065403885
697	0.2065169088
698	0.2065117476
699	0.2064892132
700	0.2064709532
701	0.2064553018
702	0.2064404128
703	0.2064253464
704	0.2064129784
705	0.2063913108
706	0.2063713153
707	0.2063631106
708	0.2063463918
709	0.2063369024
710	0.2063208353
711	0.2063017805
712	0.2062823295
713	0.2062652868
714	0.2062528293
715	0.2062359337
716	0.206221279
717	0.2061971733
718	0.20618438
719	0.2061733211
720	0.2061525086
721	0.2061356473
722	0.2061150361
723	0.206097516
724	0.2060796912
725	0.2060684551
726	0.2060497053
727	0.2060314307
728	0.2060059655
729	0.2059931961
730	0.2059791652
731	0.2059591856
732	0.2059505933
733	0.2059371035
734	0.2059190848
735	0.2059050025
736	0.2058942006
737	0.2058787067
738	0.2058644578
739	0.20585796
740	0.2058365143
741	0.205815168
742	0.2057926313
743	0.2057842678
744	0.2057663872
745	0.205745337
746	0.2057281703
747	0.2057108351
748	0.2057041674
749	0.205690971
750	0.2056730094
751	0.2056620775
752	0.2056493435
753	0.2056347948
754	0.2056205498
755	0.205614392
756	0.2056014563
757	0.2055881775
758	0.2055791905
759	0.2055561048
760	0.2055435091
761	0.2055218504
762	0.2055071638
763	0.20548922
764	0.2054722607
765	0.2054535195
766	0.2054314837
767	0.2054192239
768	0.2054014734
769	0.205387194
770	0.2053682142
771	0.205361321
772	0.2053471696
773	0.2053325846
774	0.2053094726
775	0.2053009751
776	0.2052853273
777	0.2052689296
778	0.2052525748
779	0.2052341407
780	0.2052104978
781	0.2051891798
782	0.2051742313
783	0.205154529
784	0.2051375737
785	0.2051183566
786	0.2050989774
787	0.2050885069
788	0.2050737286
789	0.2050583976
790	0.2050429675
791	0.205027878
792	0.2050083363
793	0.2049982458
794	0.2049815163
795	0.2049609991
796	0.2049382131
797	0.2049245857
798	0.2049105042
799	0.2048894185
800	0.204877021
801	0.2048652988
802	0.2048500151
803	0.2048327762
804	0.2048066635
805	0.2047944229
806	0.2047837436
807	0.2047758785
808	0.2047713811
809	0.2047496838
810	0.2047387201
811	0.2047197529
812	0.2047046038
813	0.2046802304
814	0.2046724594
815	0.2046570763
816	0.20463641
817	0.2046215885
818	0.204602933
819	0.2045880112
820	0.2045715793
821	0.2045569131
822	0.2045493085
823	0.2045391192
824	0.2045287051
825	0.2045181283
826	0.2044923274
827	0.2044743325
828	0.2044527962
829	0.2044331142
830	0.2044218709
831	0.204407954
832	0.2043878565
833	0.2043722892
834	0.2043627245
835	0.2043500734
836	0.204341046
837	0.2043303506
838	0.2043154342
839	0.2043034047
840	0.2042978082
841	0.2042860623
842	0.2042726214
843	0.2042442355
844	0.2042343272
845	0.204223723
846	0.2042040556
847	0.204188475
848	0.2041590973
849	0.2041438247
850	0.2041303668
851	0.2041157021
852	0.2041047737
853	0.2040862964
854	0.2040750206
855	0.2040641321
856	0.2040490019
857	0.2040372634
858	0.204020663
859	0.2040101734
860	0.203993138
861	0.2039741578
862	0.2039677467
863	0.2039595217
864	0.2039376846
865	0.2039294044
866	0.2039196421
867	0.2039034105
868	0.2038915813
869	0.2038724675
870	0.20385195
871	0.2038411518
872	0.2038245345
873	0.2038077405
874	0.2037955041
875	0.2037797502
876	0.2037663105
877	0.2037460398
878	0.2037238194
879	0.2037091799
880	0.2036914062
881	0.2036751637
882	0.2036679545
883	0.203660694
884	0.203650726
885	0.2036395602
886	0.2036183633
887	0.2036021569
888	0.2035873153
889	0.2035705054
890	0.2035568215
891	0.2035410794
892	0.2035276454
893	0.2035060569
894	0.2034851385
895	0.2034661358
896	0.2034586565
897	0.2034417758
898	0.2034258045
899	0.2034171124
900	0.2033995223
901	0.2033820652
902	0.203370184
903	0.2033558161
904	0.2033430365
905	0.2033311126
906	0.2033164562
907	0.2033026635
908	0.2032969846
909	0.2032792342
910	0.2032685791
911	0.2032497931
912	0.2032312915
