iter	Passed	Remaining
0	6889	6283413
1	7004	3190641
2	7133	2163890
3	7244	1646239
4	7358	1336314
5	7468	1128967
6	7538	975686
7	7655	866046
8	7765	780048
9	7879	711485
10	7987	654958
11	8107	608754
12	8213	568639
13	8319	534226
14	8423	504278
15	8556	479690
16	8688	457949
17	8798	437470
18	8903	418922
19	8999	401834
20	9107	386866
21	9213	373156
22	9324	360833
23	9440	349690
24	9537	338781
25	9640	328885
26	9737	319531
27	9827	310630
28	9921	302441
29	10016	294827
30	10115	287795
31	10219	281342
32	10312	274993
33	10419	269380
34	10527	264079
35	10645	259340
36	10749	254507
37	10849	249820
38	10960	245627
39	11100	242279
40	11233	238914
41	11365	235709
42	11499	232657
43	11623	229561
44	11736	226385
45	11849	223346
46	11962	220418
47	12075	217604
48	12189	214934
49	12304	212374
50	12412	209795
51	12522	207348
52	12633	204999
53	12750	202821
54	12858	200598
55	12959	198330
56	13068	196254
57	13173	194196
58	13279	192217
59	13389	190347
60	13492	188446
61	13597	186643
62	13699	184837
63	13807	183163
64	13914	181526
65	14024	179984
66	14130	178422
67	14236	176904
68	14339	175404
69	14448	174000
70	14556	172624
71	14670	171362
72	14775	170018
73	14881	168724
74	14993	167531
75	15100	166304
76	15210	165141
77	15326	164073
78	15440	163008
79	15558	162002
80	15674	160999
81	15781	159931
82	15902	159026
83	16032	158222
84	16138	157210
85	16240	156177
86	16350	155232
87	16453	154247
88	16567	153386
89	16674	152483
90	16775	151529
91	16884	150674
92	16988	149794
93	17104	149027
94	17212	148212
95	17313	147344
96	17416	146512
97	17521	145713
98	17624	144914
99	17738	144211
100	17842	143445
101	17936	142610
102	18048	141935
103	18161	141276
104	18260	140516
105	18371	139868
106	18482	139222
107	18596	138615
108	18707	137985
109	18818	137373
110	18933	136797
111	19056	136290
112	19170	135718
113	19286	135176
114	19402	134638
115	19510	134050
116	19617	133466
117	19722	132878
118	19829	132307
119	19944	131798
120	20063	131326
121	20181	130849
122	20287	130303
123	20404	129833
124	20514	129324
125	20622	128809
126	20734	128326
127	20842	127821
128	20958	127373
129	21069	126901
130	21175	126406
131	21293	125984
132	21396	125484
133	21499	124987
134	21601	124489
135	21705	124007
136	21805	123513
137	21912	123058
138	22026	122651
139	22134	122215
140	22234	121735
141	22348	121342
142	22457	120922
143	22559	120471
144	22676	120106
145	22776	119653
146	22892	119292
147	23024	119010
148	23153	118719
149	23278	118408
150	23399	118082
151	23517	117741
152	23631	117385
153	23741	117013
154	23851	116642
155	23975	116341
156	24087	115988
157	24194	115615
158	24308	115274
159	24410	114881
160	24513	114499
161	24612	114100
162	24712	113709
163	24818	113348
164	24934	113035
165	25036	112663
166	25143	112319
167	25258	112008
168	25368	111679
169	25482	111372
170	25591	111047
171	25701	110725
172	25809	110398
173	25930	110131
174	26039	109810
175	26159	109541
176	26268	109228
177	26376	108915
178	26486	108609
179	26596	108307
180	26704	107996
181	26807	107671
182	26919	107384
183	27022	107063
184	27156	106863
185	27289	106662
186	27415	106436
187	27522	106138
188	27642	105888
189	27749	105593
190	27861	105317
191	27980	105071
192	28093	104806
193	28203	104526
194	28323	104288
195	28441	104042
196	28552	103774
197	28659	103493
198	28764	103204
199	28879	102954
